
Alpha

~/ensino/private/E2/Alpha ~/ensino/private
Gamma |asl110 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl111 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl112 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl113 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl114 - OK - "Programa Ok!"
Gamma |asl115 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl116 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl117 - OK - "Erro Sintatico (Linha 7)!"
Gamma |asl118 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl119 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl11 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl120 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl121 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl122 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl123 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl124 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl125 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl126 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl127 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl128 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl129 - NOK - "Erro Sintatico (Linha 6)!"
Gamma |asl12 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl130 - OK - "Erro Sintatico (Linha 5)!"
Gamma |asl131 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl132 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl133 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl134 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl135 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl136 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl137 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl138 - OK - "Programa Ok!"
Gamma |asl139 - OK - "Programa Ok!"
Gamma |asl13 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl140 - OK - "Programa Ok!"
Gamma |asl141 - OK - "Programa Ok!"
Gamma |asl142 - OK - "Programa Ok!"
Gamma |asl143 - OK - "Programa Ok!"
Gamma |asl144 - OK - "Programa Ok!"
Gamma |asl145 - OK - "Programa Ok!"
Gamma |asl146 - OK - "Programa Ok!"
Gamma |asl147 - OK - "Programa Ok!"
Gamma |asl148 - OK - "Programa Ok!"
Gamma |asl149 - OK - "Programa Ok!"
Gamma |asl14 - OK - "Erro Sintatico (Linha 5)!"
Gamma |asl150 - OK - "Programa Ok!"
Gamma |asl15 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl16 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl17 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl18 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl19 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl20 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl21 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl22 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl23 - OK - "Erro Sintatico (Linha 5)!"
Gamma |asl24 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl25 - OK - "Programa Ok!"
Gamma |asl26 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl27 - OK - "Programa Ok!"
Gamma |asl28 - OK - "Programa Ok!"
Gamma |asl29 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl30 - OK - "Programa Ok!"
Gamma |asl31 - NOK - "Erro Sintatico (Linha 4)!"
Gamma |asl32 - NOK - "Erro Sintatico (Linha 8)!"
Gamma |asl33 - OK - "Programa Ok!"
Gamma |asl34 - OK - "Erro Sintatico (Linha 8)!"
Gamma |asl35 - OK - "Programa Ok!"
Gamma |asl36 - OK - "Programa Ok!"
Gamma |asl37 - OK - "Programa Ok!"
Gamma |asl38 - OK - "Programa Ok!"
Gamma |asl39 - OK - "Programa Ok!"
Gamma |asl40 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl41 - OK - "Programa Ok!"
Gamma |asl42 - OK - "Programa Ok!"
Gamma |asl43 - OK - "Programa Ok!"
Gamma |asl44 - OK - "Programa Ok!"
Gamma |asl45 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl46 - OK - "Programa Ok!"
Gamma |asl47 - OK - "Programa Ok!"
Gamma |asl48 - OK - "Programa Ok!"
Gamma |asl49 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl50 - OK - "Programa Ok!"
Gamma |asl51 - OK - "Programa Ok!"
Gamma |asl52 - NOK - "Erro Sintatico (Linha 9)!"
Gamma |asl53 - OK - "Programa Ok!"
Gamma |asl54 - OK - "Programa Ok!"
Gamma |asl55 - OK - "Erro Sintatico (Linha 7)!"
Gamma |asl56 - OK - "Programa Ok!"
Gamma |asl57 - OK - "Programa Ok!"
Gamma |asl58 - OK - "Programa Ok!"
Gamma |asl59 - OK - "Programa Ok!"
Gamma |asl60 - OK - "Programa Ok!"
Gamma |asl61 - OK - "Erro Sintatico (Linha 7)!"
Gamma |asl62 - NOK - "Erro Sintatico (Linha 5)!"
Gamma |asl63 - NOK - "Erro Sintatico (Linha 8)!"
Gamma |asl64 - OK - "Erro Sintatico (Linha 7)!"
Gamma |asl65 - NOK - "Erro Sintatico (Linha 8)!"
Gamma |asl66 - NOK - "Erro Sintatico (Linha 7)!"
Gamma |asl67 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl68 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl69 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl70 - OK - "Erro Sintatico (Linha 8)!"
Gamma |asl71 - OK - "Erro Sintatico (Linha 9)!"
Gamma |asl72 - OK - "Erro Sintatico (Linha 13)!"
Gamma |asl73 - OK - "Erro Sintatico (Linha 13)!"
Gamma |asl74 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl75 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl76 - NOK - "Erro Sintatico (Linha 7)!"
Gamma |asl77 - NOK - "Erro Sintatico (Linha 5)!"
Gamma |asl78 - OK - "Programa Ok!"
Gamma |asl79 - OK - "Programa Ok!"
Gamma |asl80 - NOK - "Erro Sintatico (Linha 6)!"
Gamma |asl81 - OK - "Programa Ok!"
Gamma |asl82 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl83 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl84 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl85 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl86 - NOK - "Programa Ok!"
Gamma |asl87 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl88 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl89 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl90 - OK - "Erro Sintatico (Linha 7)!"
Gamma |asl91 - OK - "Erro Sintatico (Linha 7)!"
Gamma |asl92 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl93 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl94 - OK - "Erro Sintatico (Linha 4)!"
Gamma |asl95 - OK - "Erro Sintatico (Linha 6)!"
Gamma |asl96 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl97 - OK - "Erro Sintatico (Linha 3)!"
Gamma |asl98 - OK - "Erro Sintatico (Linha 2)!"
Gamma |asl99 - OK - "Erro Sintatico (Linha 2)!"
~/ensino/private

Iota

~/ensino/private/E2/Iota ~/ensino/private
Iota |asl01 - OK - ""
Iota |asl02 - OK - ""
Iota |asl03 - OK - ""
Iota |asl04 - OK - ""
Iota |asl05 - OK - ""
Iota |asl06 - OK - ""
Iota |asl07 - OK - ""
Iota |asl08 - OK - ""
Iota |asl09 - OK - "line 3: syntax error"
Iota |asl100 - OK - "line 2: syntax error"
Iota |asl101 - OK - "line 2: syntax error"
Iota |asl102 - OK - "line 2: syntax error"
Iota |asl103 - OK - "line 2: syntax error"
Iota |asl104 - OK - "line 2: syntax error"
Iota |asl105 - OK - "line 2: syntax error"
Iota |asl106 - OK - "line 2: syntax error"
Iota |asl107 - OK - "line 2: syntax error"
Iota |asl108 - OK - "line 2: syntax error"
Iota |asl109 - OK - "line 2: syntax error"
Iota |asl10 - OK - "line 3: syntax error"
Iota |asl110 - OK - "line 2: syntax error"
Iota |asl111 - OK - "line 2: syntax error"
Iota |asl112 - OK - "line 2: syntax error"
Iota |asl113 - OK - "line 2: syntax error"
Iota |asl114 - NOK - "line 2: syntax error"
Iota |asl115 - OK - "line 4: syntax error"
Iota |asl116 - OK - "line 4: syntax error"
Iota |asl117 - OK - "line 7: syntax error"
Iota |asl118 - OK - "line 3: syntax error"
Iota |asl119 - OK - "line 4: syntax error"
Iota |asl11 - OK - "line 4: syntax error"
Iota |asl120 - OK - "line 4: syntax error"
Iota |asl121 - OK - "line 4: syntax error"
