
Alpha

~/ensino/private/E2/Alpha ~/ensino/private
Rho |asl126 - OK - ""
Rho |asl127 - OK - ""
Rho |asl128 - OK - ""
Rho |asl129 - NOK - ""
Rho |asl12 - OK - ""
Rho |asl130 - OK - ""
Rho |asl131 - OK - ""
Rho |asl132 - OK - ""
Rho |asl133 - OK - ""
Rho |asl134 - OK - ""
Rho |asl135 - OK - ""
Rho |asl136 - OK - ""
Rho |asl137 - OK - ""
Rho |asl138 - OK - ""
Rho |asl139 - OK - ""
Rho |asl13 - OK - ""
Rho |asl140 - OK - ""
Rho |asl141 - OK - ""
Rho |asl142 - OK - ""
Rho |asl143 - OK - ""
Rho |asl144 - OK - ""
Rho |asl145 - OK - ""
Rho |asl146 - OK - ""
Rho |asl147 - OK - ""
Rho |asl148 - OK - ""
Rho |asl149 - OK - ""
Rho |asl14 - OK - ""
Rho |asl150 - NOK - ""
Rho |asl15 - OK - ""
Rho |asl16 - OK - ""
Rho |asl17 - OK - ""
Rho |asl18 - OK - ""
Rho |asl19 - OK - ""
Rho |asl20 - OK - ""
Rho |asl21 - OK - ""
Rho |asl22 - OK - ""
Rho |asl23 - OK - ""
Rho |asl24 - OK - ""
Rho |asl25 - OK - ""
Rho |asl26 - OK - ""
Rho |asl27 - OK - ""
Rho |asl28 - OK - ""
Rho |asl29 - OK - ""
Rho |asl30 - OK - ""
Rho |asl31 - NOK - ""
Rho |asl32 - NOK - ""
Rho |asl33 - OK - ""
Rho |asl34 - OK - ""
Rho |asl35 - OK - ""
Rho |asl36 - OK - ""
Rho |asl37 - OK - ""
Rho |asl38 - OK - ""
Rho |asl39 - OK - ""
Rho |asl40 - OK - ""
Rho |asl41 - NOK - ""
Rho |asl42 - OK - ""
Rho |asl43 - OK - ""
Rho |asl44 - OK - ""
Rho |asl45 - OK - ""
Rho |asl46 - OK - ""
Rho |asl47 - OK - ""
Rho |asl48 - OK - ""
Rho |asl49 - OK - ""
Rho |asl50 - OK - ""
Rho |asl51 - OK - ""
Rho |asl52 - OK - ""
Rho |asl53 - NOK - ""
Rho |asl54 - OK - ""
Rho |asl55 - OK - ""
Rho |asl56 - OK - ""
Rho |asl57 - OK - ""
Rho |asl58 - OK - ""
Rho |asl59 - OK - ""
Rho |asl60 - OK - ""
Rho |asl61 - OK - ""
Rho |asl62 - NOK - ""
Rho |asl63 - NOK - ""
Rho |asl64 - OK - ""
Rho |asl65 - NOK - ""
Rho |asl66 - NOK - ""
Rho |asl67 - OK - ""
Rho |asl68 - OK - ""
Rho |asl69 - OK - ""
Rho |asl70 - OK - ""
Rho |asl71 - OK - ""
Rho |asl72 - OK - ""
Rho |asl73 - OK - ""
Rho |asl74 - OK - ""
Rho |asl75 - OK - ""
Rho |asl76 - OK - ""
Rho |asl77 - OK - ""
Rho |asl78 - OK - ""
Rho |asl79 - OK - ""
Rho |asl80 - NOK - ""
Rho |asl81 - OK - ""
Rho |asl82 - OK - ""
Rho |asl83 - OK - ""
Rho |asl84 - OK - ""
Rho |asl85 - OK - ""
Rho |asl86 - NOK - ""
Rho |asl87 - OK - ""
Rho |asl88 - OK - ""
Rho |asl89 - OK - ""
Rho |asl90 - OK - ""
Rho |asl91 - OK - ""
Rho |asl92 - OK - ""
Rho |asl93 - OK - ""
Rho |asl94 - OK - ""
Rho |asl95 - OK - ""
Rho |asl96 - OK - ""
Rho |asl97 - OK - ""
Rho |asl98 - OK - ""
Rho |asl99 - OK - ""
~/ensino/private

Sigma

~/ensino/private/E2/Sigma ~/ensino/private
Sigma |asl01 - OK - ""
Sigma |asl02 - OK - ""
Sigma |asl03 - OK - ""
Sigma |asl04 - OK - ""
Sigma |asl05 - OK - ""
Sigma |asl06 - OK - ""
Sigma |asl07 - OK - ""
Sigma |asl08 - OK - ""
Sigma |asl09 - OK - ""
Sigma |asl100 - OK - ""
Sigma |asl101 - OK - ""
Sigma |asl102 - OK - ""
Sigma |asl103 - OK - ""
Sigma |asl104 - OK - ""
Sigma |asl105 - OK - ""
Sigma |asl106 - OK - ""
Sigma |asl107 - OK - ""
Sigma |asl108 - OK - ""
Sigma |asl109 - OK - ""
Sigma |asl10 - OK - ""
Sigma |asl110 - OK - ""
Sigma |asl111 - OK - ""
Sigma |asl112 - OK - ""
Sigma |asl113 - OK - ""
Sigma |asl114 - OK - ""
Sigma |asl115 - OK - ""
Sigma |asl116 - OK - ""
Sigma |asl117 - OK - ""
Sigma |asl118 - OK - ""
Sigma |asl119 - OK - ""
Sigma |asl11 - OK - ""
Sigma |asl120 - OK - ""
Sigma |asl121 - OK - ""
Sigma |asl122 - OK - ""
Sigma |asl123 - OK - ""
Sigma |asl124 - OK - ""
Sigma |asl125 - OK - ""
Sigma |asl126 - OK - ""
Sigma |asl127 - OK - ""
Sigma |asl128 - OK - ""
Sigma |asl129 - NOK - ""
Sigma |asl12 - OK - ""
Sigma |asl130 - OK - ""
Sigma |asl131 - OK - ""
Sigma |asl132 - OK - ""
Sigma |asl133 - OK - ""
Sigma |asl134 - OK - ""
Sigma |asl135 - OK - ""
Sigma |asl136 - OK - ""
Sigma |asl137 - OK - ""
Sigma |asl138 - OK - ""
Sigma |asl139 - OK - ""
Sigma |asl13 - OK - ""
Sigma |asl140 - OK - ""
Sigma |asl141 - OK - ""
Sigma |asl142 - OK - ""
Sigma |asl143 - OK - ""
Sigma |asl144 - OK - ""
Sigma |asl145 - OK - ""
Sigma |asl146 - OK - ""
Sigma |asl147 - OK - ""
Sigma |asl148 - OK - ""
Sigma |asl149 - OK - ""
Sigma |asl14 - OK - ""
Sigma |asl150 - NOK - ""
Sigma |asl15 - OK - ""
Sigma |asl16 - OK - ""
Sigma |asl17 - OK - ""
Sigma |asl18 - OK - ""
Sigma |asl19 - OK - ""
Sigma |asl20 - OK - ""
Sigma |asl21 - OK - ""
Sigma |asl22 - OK - ""
Sigma |asl23 - OK - ""
Sigma |asl24 - OK - ""
Sigma |asl25 - OK - ""
Sigma |asl26 - OK - ""
Sigma |asl27 - OK - ""
Sigma |asl28 - OK - ""
Sigma |asl29 - OK - ""
Sigma |asl30 - OK - ""
Sigma |asl31 - OK - ""
Sigma |asl32 - OK - ""
Sigma |asl33 - OK - ""
Sigma |asl34 - OK - ""
Sigma |asl35 - OK - ""
Sigma |asl36 - OK - ""
Sigma |asl37 - OK - ""
Sigma |asl38 - OK - ""
Sigma |asl39 - OK - ""
Sigma |asl40 - OK - ""
Sigma |asl41 - OK - ""
Sigma |asl42 - OK - ""
Sigma |asl43 - OK - ""
Sigma |asl44 - OK - ""
Sigma |asl45 - OK - ""
Sigma |asl46 - OK - ""
Sigma |asl47 - OK - ""
Sigma |asl48 - OK - ""
Sigma |asl49 - OK - ""
Sigma |asl50 - OK - ""
Sigma |asl51 - OK - ""
Sigma |asl52 - OK - ""
Sigma |asl53 - OK - ""
Sigma |asl54 - OK - ""
Sigma |asl55 - OK - ""
Sigma |asl56 - OK - ""
Sigma |asl57 - OK - ""
Sigma |asl58 - OK - ""
Sigma |asl59 - OK - ""
Sigma |asl60 - OK - ""
Sigma |asl61 - OK - ""
Sigma |asl62 - NOK - ""
Sigma |asl63 - NOK - ""
Sigma |asl64 - OK - ""
Sigma |asl65 - NOK - ""
Sigma |asl66 - NOK - ""
Sigma |asl67 - OK - ""
Sigma |asl68 - OK - ""
Sigma |asl69 - OK - ""
Sigma |asl70 - OK - ""
Sigma |asl71 - OK - ""
Sigma |asl72 - OK - ""
Sigma |asl73 - OK - ""
Sigma |asl74 - OK - ""
Sigma |asl75 - OK - ""
Sigma |asl76 - OK - ""
Sigma |asl77 - OK - ""
Sigma |asl78 - OK - ""
Sigma |asl79 - OK - ""
Sigma |asl80 - NOK - ""
Sigma |asl81 - OK - ""
Sigma |asl82 - OK - ""
Sigma |asl83 - OK - ""
Sigma |asl84 - OK - ""
Sigma |asl85 - OK - ""
Sigma |asl86 - OK - ""
Sigma |asl87 - OK - ""
Sigma |asl88 - OK - ""
Sigma |asl89 - OK - ""
Sigma |asl90 - OK - ""
Sigma |asl91 - OK - ""
Sigma |asl92 - OK - ""
Sigma |asl93 - OK - ""
Sigma |asl94 - OK - ""
Sigma |asl95 - OK - ""
Sigma |asl96 - OK - ""
Sigma |asl97 - OK - ""
Sigma |asl98 - OK - ""
Sigma |asl99 - OK - ""
~/ensino/private

Tau

~/ensino/private/E2/Tau ~/ensino/private
Tau |asl01 - OK - ""
Tau |asl02 - OK - ""
Tau |asl03 - OK - ""
Tau |asl04 - OK - ""
Tau |asl05 - OK - ""
Tau |asl06 - OK - ""
Tau |asl07 - OK - ""
Tau |asl08 - OK - ""
Tau |asl09 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl100 - OK - "Error on line 2. syntax error, unexpected TK_IDENTIFICADOR, expecting $end"
Tau |asl101 - OK - "Error on line 2. syntax error, unexpected TK_PR_STATIC"
Tau |asl102 - OK - "Error on line 2. syntax error, unexpected TK_PR_CONST, expecting $end"
Tau |asl103 - OK - "Error on line 2. syntax error, unexpected ';', expecting '{'"
Tau |asl104 - OK - "Error on line 2. syntax error, unexpected '[', expecting ')'"
Tau |asl105 - OK - "Error on line 2. syntax error, unexpected '(', expecting ';'"
Tau |asl106 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl107 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl108 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl109 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS"
Tau |asl10 - OK - "Error on line 3. syntax error, unexpected TK_IDENTIFICADOR, expecting $end"
Tau |asl110 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl111 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl112 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl113 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl114 - OK - ""
Tau |asl115 - OK - "Error on line 4. syntax error, unexpected '=', expecting ';'"
Tau |asl116 - OK - "Error on line 4. syntax error, unexpected TK_OC_LE, expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl117 - OK - "Error on line 7. syntax error, unexpected TK_IDENTIFICADOR, expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl118 - OK - "Error on line 3. syntax error, unexpected TK_IDENTIFICADOR, expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl119 - OK - "Error on line 4. syntax error, unexpected ';'"
Tau |asl11 - OK - "Error on line 4. syntax error, unexpected $end, expecting ';'"
Tau |asl120 - OK - "Error on line 4. syntax error, unexpected ';'"
Tau |asl121 - OK - "Error on line 4. syntax error, unexpected TK_LIT_INT"
Tau |asl122 - OK - "Error on line 4. syntax error, unexpected '{', expecting TK_PR_DO"
Tau |asl123 - OK - "Error on line 4. syntax error, unexpected ')'"
Tau |asl124 - OK - "Error on line 4. syntax error, unexpected '{'"
Tau |asl125 - OK - "Error on line 4. syntax error, unexpected ';'"
Tau |asl126 - OK - "Error on line 4. syntax error, unexpected TK_PR_SWITCH"
Tau |asl127 - OK - "Error on line 4. syntax error, unexpected TK_PR_SWITCH"
Tau |asl128 - OK - "Error on line 4. syntax error, unexpected TK_LIT_TRUE, expecting '('"
Tau |asl129 - NOK - "Error on line 6. syntax error, unexpected ';', expecting '}'"
Tau |asl12 - OK - "Error on line 3. syntax error, unexpected TK_OC_LE, expecting ';'"
Tau |asl130 - OK - "Error on line 5. syntax error, unexpected TK_IDENTIFICADOR, expecting '{'"
Tau |asl131 - OK - "Error on line 3. syntax error, unexpected TK_PR_FOREACH"
Tau |asl132 - OK - "Error on line 3. syntax error, unexpected TK_PR_FOREACH"
Tau |asl133 - OK - "Error on line 3. syntax error, unexpected ':'"
Tau |asl134 - OK - "Error on line 3. syntax error, unexpected '+', expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl135 - OK - "Error on line 3. syntax error, unexpected ')'"
Tau |asl136 - OK - "Error on line 3. syntax error, unexpected ';'"
Tau |asl137 - OK - "Error on line 6. syntax error, unexpected '+', expecting ';'"
Tau |asl138 - OK - ""
Tau |asl139 - OK - ""
Tau |asl13 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl140 - OK - ""
Tau |asl141 - OK - ""
Tau |asl142 - OK - ""
Tau |asl143 - OK - ""
Tau |asl144 - OK - ""
Tau |asl145 - OK - ""
Tau |asl146 - OK - ""
Tau |asl147 - OK - ""
Tau |asl148 - OK - ""
Tau |asl149 - OK - ""
Tau |asl14 - OK - "Error on line 5. syntax error, unexpected TK_PR_CLASS"
Tau |asl150 - NOK - "Error on line 3. syntax error, unexpected TK_LIT_INT, expecting ';'"
Tau |asl15 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl16 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl17 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl18 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl19 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl20 - OK - "Error on line 2. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl21 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl22 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl23 - OK - "Error on line 5. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl24 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl25 - OK - ""
Tau |asl26 - OK - "Error on line 6. syntax error, unexpected ';', expecting $end"
Tau |asl27 - OK - ""
Tau |asl28 - OK - ""
Tau |asl29 - OK - "Error on line 4. syntax error, unexpected '[', expecting ')'"
Tau |asl30 - OK - ""
Tau |asl31 - NOK - "Error on line 4. syntax error, unexpected '{'"
Tau |asl32 - NOK - "Error on line 6. syntax error, unexpected '{'"
Tau |asl33 - OK - ""
Tau |asl34 - OK - "Error on line 8. syntax error, unexpected TK_PR_INT, expecting ';'"
Tau |asl35 - OK - ""
Tau |asl36 - OK - ""
Tau |asl37 - OK - ""
Tau |asl38 - OK - ""
Tau |asl39 - OK - ""
Tau |asl40 - OK - "Error on line 6. syntax error, unexpected '[', expecting ';'"
Tau |asl41 - OK - ""
Tau |asl42 - OK - ""
Tau |asl43 - OK - ""
Tau |asl44 - OK - ""
Tau |asl45 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl46 - OK - ""
Tau |asl47 - OK - ""
Tau |asl48 - OK - ""
Tau |asl49 - OK - "Error on line 4. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl50 - OK - ""
Tau |asl51 - OK - ""
Tau |asl52 - OK - ""
Tau |asl53 - NOK - "Error on line 5. syntax error, unexpected '(', expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl54 - NOK - "Error on line 7. syntax error, unexpected '(', expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl55 - OK - "Error on line 7. syntax error, unexpected '(', expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl56 - OK - ""
Tau |asl57 - OK - ""
Tau |asl58 - OK - ""
Tau |asl59 - OK - ""
Tau |asl60 - OK - ""
Tau |asl61 - OK - "Error on line 7. syntax error, unexpected TK_PR_CASE"
Tau |asl62 - NOK - "Error on line 5. syntax error, unexpected ';', expecting '}'"
Tau |asl63 - NOK - "Error on line 8. syntax error, unexpected ';', expecting '}'"
Tau |asl64 - OK - "Error on line 7. syntax error, unexpected TK_PR_FOREACH, expecting '}'"
Tau |asl65 - NOK - "Error on line 8. syntax error, unexpected ';', expecting '}'"
Tau |asl66 - NOK - "Error on line 7. syntax error, unexpected ';', expecting '}'"
Tau |asl67 - OK - "Error on line 6. syntax error, unexpected TK_PR_DO, expecting '}'"
Tau |asl68 - OK - "Error on line 6. syntax error, unexpected TK_PR_OUTPUT"
Tau |asl69 - OK - "Error on line 6. syntax error, unexpected TK_PR_CASE"
Tau |asl70 - OK - "Error on line 8. syntax error, unexpected TK_PR_SWITCH, expecting '}'"
Tau |asl71 - OK - "Error on line 9. syntax error, unexpected TK_PR_DO, expecting '}'"
Tau |asl72 - OK - "Error on line 13. syntax error, unexpected '(', expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl73 - OK - "Error on line 13. syntax error, unexpected '(', expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl74 - OK - "Error on line 6. syntax error, unexpected '(', expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl75 - OK - "Error on line 6. syntax error, unexpected TK_OC_FORWARD_PIPE, expecting ';'"
Tau |asl76 - OK - ""
Tau |asl77 - OK - ""
Tau |asl78 - OK - ""
Tau |asl79 - OK - ""
Tau |asl80 - NOK - "Error on line 6. syntax error, unexpected ';', expecting '}'"
Tau |asl81 - OK - ""
Tau |asl82 - OK - "Error on line 2. syntax error, unexpected ';', expecting TK_IDENTIFICADOR"
Tau |asl83 - OK - "Error on line 2. syntax error, unexpected ';', expecting $end"
Tau |asl84 - OK - "Error on line 3. syntax error, unexpected TK_PR_FLOAT, expecting '{'"
Tau |asl85 - OK - "Error on line 4. syntax error, unexpected ';'"
Tau |asl86 - OK - "Error on line 2. syntax error, unexpected ')'"
Tau |asl87 - OK - "Error on line 6. syntax error, unexpected TK_IDENTIFICADOR, expecting $end"
Tau |asl88 - OK - "Error on line 6. syntax error, unexpected '}', expecting '{'"
Tau |asl89 - OK - "Error on line 4. syntax error, unexpected ';'"
Tau |asl90 - OK - "Error on line 7. syntax error, unexpected ',', expecting ';'"
Tau |asl91 - OK - "Error on line 7. syntax error, unexpected ',', expecting ';'"
Tau |asl92 - OK - "Error on line 4. syntax error, unexpected TK_LIT_INT"
Tau |asl93 - OK - "Error on line 4. syntax error, unexpected '(', expecting TK_OC_SL or TK_OC_SR or '='"
Tau |asl94 - OK - "Error on line 4. syntax error, unexpected TK_PR_DO"
Tau |asl95 - OK - "Error on line 6. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl96 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl97 - OK - "Error on line 3. syntax error, unexpected TK_PR_CLASS, expecting $end"
Tau |asl98 - OK - "Error on line 2. syntax error, unexpected ']'"
Tau |asl99 - OK - "Error on line 2. syntax error, unexpected '[', expecting TK_IDENTIFICADOR"
~/ensino/private

Theta

~/ensino/private/E2/Theta ~/ensino/private
Theta |asl01 - OK - ""
Theta |asl02 - OK - ""
Theta |asl03 - OK - ""
Theta |asl04 - OK - ""
Theta |asl05 - OK - ""
Theta |asl06 - OK - ""
Theta |asl07 - OK - ""
Theta |asl08 - OK - ""
Theta |asl09 - OK - ""
Theta |asl100 - OK - ""
Theta |asl101 - OK - ""
Theta |asl102 - OK - ""
Theta |asl103 - OK - ""
Theta |asl104 - OK - ""
Theta |asl105 - OK - ""
Theta |asl106 - OK - ""
Theta |asl107 - OK - ""
Theta |asl108 - OK - ""
Theta |asl109 - OK - ""
Theta |asl10 - OK - ""
Theta |asl110 - OK - ""
Theta |asl111 - OK - ""
Theta |asl112 - OK - ""
Theta |asl113 - OK - ""
Theta |asl114 - OK - ""
Theta |asl115 - OK - ""
Theta |asl116 - OK - ""
Theta |asl117 - OK - ""
Theta |asl118 - OK - ""
Theta |asl119 - OK - ""
Theta |asl11 - OK - ""
Theta |asl120 - OK - ""
Theta |asl121 - OK - ""
Theta |asl122 - OK - ""
Theta |asl123 - OK - ""
Theta |asl124 - OK - ""
Theta |asl125 - OK - ""
Theta |asl126 - OK - ""
Theta |asl127 - OK - ""
Theta |asl128 - OK - ""
Theta |asl129 - NOK - ""
Theta |asl12 - OK - ""
Theta |asl130 - OK - ""
Theta |asl131 - OK - ""
Theta |asl132 - OK - ""
Theta |asl133 - OK - ""
Theta |asl134 - OK - ""
Theta |asl135 - OK - ""
Theta |asl136 - OK - ""
Theta |asl137 - OK - ""
Theta |asl138 - OK - ""
Theta |asl139 - OK - ""
Theta |asl13 - OK - ""
Theta |asl140 - OK - ""
Theta |asl141 - OK - ""
Theta |asl142 - OK - ""
Theta |asl143 - OK - ""
Theta |asl144 - OK - ""
Theta |asl145 - OK - ""
Theta |asl146 - OK - ""
Theta |asl147 - OK - ""
Theta |asl148 - OK - ""
Theta |asl149 - OK - ""
Theta |asl14 - OK - ""
Theta |asl150 - OK - ""
Theta |asl15 - OK - ""
Theta |asl16 - OK - ""
Theta |asl17 - OK - ""
Theta |asl18 - OK - ""
Theta |asl19 - OK - ""
Theta |asl20 - OK - ""
Theta |asl21 - OK - ""
Theta |asl22 - OK - ""
Theta |asl23 - OK - ""
Theta |asl24 - OK - ""
Theta |asl25 - OK - ""
Theta |asl26 - OK - ""
Theta |asl27 - OK - ""
Theta |asl28 - OK - ""
Theta |asl29 - OK - ""
Theta |asl30 - OK - ""
Theta |asl31 - OK - ""
Theta |asl32 - OK - ""
Theta |asl33 - OK - ""
Theta |asl34 - OK - ""
Theta |asl35 - OK - ""
Theta |asl36 - OK - ""
Theta |asl37 - OK - ""
Theta |asl38 - OK - ""
Theta |asl39 - OK - ""
Theta |asl40 - OK - ""
Theta |asl41 - OK - ""
Theta |asl42 - OK - ""
Theta |asl43 - OK - ""
Theta |asl44 - OK - ""
Theta |asl45 - OK - ""
Theta |asl46 - OK - ""
Theta |asl47 - OK - ""
Theta |asl48 - OK - ""
Theta |asl49 - OK - ""
Theta |asl50 - OK - ""
Theta |asl51 - OK - ""
Theta |asl52 - OK - ""
Theta |asl53 - OK - ""
Theta |asl54 - OK - ""
Theta |asl55 - OK - ""
Theta |asl56 - OK - ""
Theta |asl57 - OK - ""
Theta |asl58 - OK - ""
Theta |asl59 - OK - ""
Theta |asl60 - OK - ""
Theta |asl61 - OK - ""
Theta |asl62 - NOK - ""
Theta |asl63 - NOK - ""
Theta |asl64 - OK - ""
Theta |asl65 - NOK - ""
Theta |asl66 - NOK - ""
Theta |asl67 - OK - ""
Theta |asl68 - OK - ""
Theta |asl69 - OK - ""
Theta |asl70 - OK - ""
Theta |asl71 - OK - ""
Theta |asl72 - OK - ""
Theta |asl73 - OK - ""
Theta |asl74 - OK - ""
Theta |asl75 - OK - ""
Theta |asl76 - OK - ""
Theta |asl77 - OK - ""
Theta |asl78 - OK - ""
Theta |asl79 - OK - ""
Theta |asl80 - NOK - ""
Theta |asl81 - OK - ""
Theta |asl82 - OK - ""
Theta |asl83 - OK - ""
Theta |asl84 - OK - ""
Theta |asl85 - OK - ""
Theta |asl86 - OK - ""
Theta |asl87 - OK - ""
Theta |asl88 - OK - ""
Theta |asl89 - OK - ""
Theta |asl90 - OK - ""
Theta |asl91 - OK - ""
Theta |asl92 - OK - ""
Theta |asl93 - OK - ""
Theta |asl94 - OK - ""
Theta |asl95 - OK - ""
Theta |asl96 - OK - ""
Theta |asl97 - OK - ""
Theta |asl98 - OK - ""
Theta |asl99 - OK - ""
~/ensino/private

Zeta

~/ensino/private/E2/Zeta ~/ensino/private
Zeta |asl01 - OK - ""
Zeta |asl02 - OK - ""
Zeta |asl03 - OK - ""
Zeta |asl04 - OK - ""
Zeta |asl05 - OK - ""
Zeta |asl06 - OK - ""
Zeta |asl07 - OK - ""
Zeta |asl08 - OK - ""
Zeta |asl09 - OK - ""
Zeta |asl100 - OK - ""
Zeta |asl101 - OK - ""
Zeta |asl102 - OK - ""
Zeta |asl103 - OK - ""
Zeta |asl104 - OK - ""
Zeta |asl105 - OK - ""
Zeta |asl106 - OK - ""
Zeta |asl107 - OK - ""
Zeta |asl108 - OK - ""
Zeta |asl109 - OK - ""
Zeta |asl10 - OK - ""
Zeta |asl110 - OK - ""
Zeta |asl111 - OK - ""
Zeta |asl112 - OK - ""
Zeta |asl113 - OK - ""
Zeta |asl114 - OK - ""
Zeta |asl115 - OK - ""
Zeta |asl116 - OK - ""
Zeta |asl117 - OK - ""
Zeta |asl118 - OK - ""
Zeta |asl119 - OK - ""
Zeta |asl11 - OK - ""
Zeta |asl120 - OK - ""
Zeta |asl121 - OK - ""
Zeta |asl122 - OK - ""
Zeta |asl123 - OK - ""
Zeta |asl124 - OK - ""
Zeta |asl125 - OK - ""
Zeta |asl126 - OK - ""
Zeta |asl127 - OK - ""
Zeta |asl128 - OK - ""
Zeta |asl129 - NOK - ""
Zeta |asl12 - OK - ""
Zeta |asl130 - OK - ""
Zeta |asl131 - OK - ""
Zeta |asl132 - OK - ""
Zeta |asl133 - OK - ""
Zeta |asl134 - OK - ""
Zeta |asl135 - OK - ""
Zeta |asl136 - OK - ""
Zeta |asl137 - OK - ""
Zeta |asl138 - OK - ""
Zeta |asl139 - OK - ""
Zeta |asl13 - OK - ""
Zeta |asl140 - OK - ""
Zeta |asl141 - OK - ""
Zeta |asl142 - OK - ""
Zeta |asl143 - OK - ""
Zeta |asl144 - OK - ""
Zeta |asl145 - OK - ""
Zeta |asl146 - OK - ""
Zeta |asl147 - OK - ""
Zeta |asl148 - OK - ""
Zeta |asl149 - OK - ""
Zeta |asl14 - OK - ""
Zeta |asl150 - OK - ""
Zeta |asl15 - OK - ""
Zeta |asl16 - OK - ""
Zeta |asl17 - OK - ""
Zeta |asl18 - OK - ""
Zeta |asl19 - OK - ""
Zeta |asl20 - OK - ""
Zeta |asl21 - OK - ""
Zeta |asl22 - OK - ""
Zeta |asl23 - OK - ""
Zeta |asl24 - OK - ""
Zeta |asl25 - OK - ""
Zeta |asl26 - OK - ""
Zeta |asl27 - OK - ""
Zeta |asl28 - OK - ""
Zeta |asl29 - OK - ""
Zeta |asl30 - OK - ""
Zeta |asl31 - NOK - ""
Zeta |asl32 - NOK - ""
Zeta |asl33 - OK - ""
Zeta |asl34 - OK - ""
Zeta |asl35 - OK - ""
Zeta |asl36 - OK - ""
Zeta |asl37 - OK - ""
Zeta |asl38 - OK - ""
Zeta |asl39 - OK - ""
Zeta |asl40 - OK - ""
Zeta |asl41 - OK - ""
Zeta |asl42 - OK - ""
Zeta |asl43 - OK - ""
Zeta |asl44 - OK - ""
Zeta |asl45 - OK - ""
Zeta |asl46 - OK - ""
Zeta |asl47 - OK - ""
Zeta |asl48 - OK - ""
Zeta |asl49 - OK - ""
Zeta |asl50 - OK - ""
Zeta |asl51 - OK - ""
Zeta |asl52 - OK - ""
Zeta |asl53 - OK - ""
Zeta |asl54 - OK - ""
Zeta |asl55 - OK - ""
Zeta |asl56 - OK - ""
Zeta |asl57 - OK - ""
Zeta |asl58 - OK - ""
Zeta |asl59 - OK - ""
Zeta |asl60 - OK - ""
Zeta |asl61 - OK - ""
Zeta |asl62 - NOK - ""
Zeta |asl63 - NOK - ""
Zeta |asl64 - OK - ""
Zeta |asl65 - NOK - ""
Zeta |asl66 - NOK - ""
Zeta |asl67 - OK - ""
Zeta |asl68 - OK - ""
Zeta |asl69 - OK - ""
Zeta |asl70 - OK - ""
Zeta |asl71 - OK - ""
Zeta |asl72 - OK - ""
Zeta |asl73 - OK - ""
Zeta |asl74 - OK - ""
Zeta |asl75 - OK - ""
Zeta |asl76 - OK - ""
Zeta |asl77 - OK - ""
Zeta |asl78 - OK - ""
Zeta |asl79 - OK - ""
Zeta |asl80 - NOK - ""
Zeta |asl81 - OK - ""
Zeta |asl82 - OK - ""
Zeta |asl83 - OK - ""
Zeta |asl84 - OK - ""
Zeta |asl85 - OK - ""
Zeta |asl86 - OK - ""
Zeta |asl87 - OK - ""
Zeta |asl88 - OK - ""
Zeta |asl89 - OK - ""
